iso3,n_events,share
CYM,25,0.0038443795171459326
MLT,25,0.0038443795171459326
CMR,25,0.0038443795171459326
IND,24,0.003690604336460095
MLI,24,0.003690604336460095
CAF,24,0.003690604336460095
NGA,24,0.003690604336460095
SGP,24,0.003690604336460095
GHA,24,0.003690604336460095
MDG,24,0.003690604336460095
DJI,24,0.003690604336460095
COG,23,0.003536829155774258
LTU,23,0.003536829155774258
KWT,23,0.003536829155774258
PLW,23,0.003536829155774258
NIU,22,0.0033830539750884206
MSR,22,0.0033830539750884206
TTO,22,0.0033830539750884206
BFA,22,0.0033830539750884206
GIN,21,0.0032292787944025836
MAC,21,0.0032292787944025836
COM,21,0.0032292787944025836
SDN,21,0.0032292787944025836
SLE,21,0.0032292787944025836
KNA,21,0.0032292787944025836
MWI,21,0.0032292787944025836
ANT,21,0.0032292787944025836
AFG,21,0.0032292787944025836
GIB,21,0.0032292787944025836
PNG,20,0.003075503613716746
NRU,20,0.003075503613716746
GRL,20,0.003075503613716746
GNQ,19,0.0029217284330309086
RWA,18,0.0027679532523450716
IRQ,18,0.0027679532523450716
JOR,18,0.0027679532523450716
VCT,18,0.0027679532523450716
COD,18,0.0027679532523450716
SUR,18,0.0027679532523450716
GEO,18,0.0027679532523450716
MMR,18,0.0027679532523450716
SVN,18,0.0027679532523450716
VGB,18,0.0027679532523450716
KAZ,18,0.0027679532523450716
TCD,18,0.0027679532523450716
EST,18,0.0027679532523450716
UGA,18,0.0027679532523450716
IDN,17,0.002614178071659234
LCA,17,0.002614178071659234
HRV,17,0.002614178071659234
CPV,17,0.002614178071659234
GNB,17,0.002614178071659234
DMA,17,0.002614178071659234
GRD,17,0.002614178071659234
LAO,17,0.002614178071659234
KHM,17,0.002614178071659234
KGZ,17,0.002614178071659234
BLZ,16,0.002460402890973397
COK,16,0.002460402890973397
BRB,16,0.002460402890973397
ATA,16,0.002460402890973397
SVK,16,0.002460402890973397
MYS,16,0.002460402890973397
STP,16,0.002460402890973397
WSM,16,0.002460402890973397
AZE,16,0.002460402890973397
LVA,16,0.002460402890973397
LBN,16,0.002460402890973397
MUS,16,0.002460402890973397
ARM,16,0.002460402890973397
UKR,16,0.002460402890973397
ETH,15,0.0023066277102875596
MOZ,15,0.0023066277102875596
AIA,15,0.0023066277102875596
SLB,15,0.0023066277102875596
UZB,15,0.0023066277102875596
VNM,15,0.0023066277102875596
VUT,15,0.0023066277102875596
BWA,15,0.0023066277102875596
BGD,15,0.0023066277102875596
MDA,15,0.0023066277102875596
TKM,15,0.0023066277102875596
BLR,14,0.002152852529601722
PRK,14,0.002152852529601722
SOM,14,0.002152852529601722
BMU,14,0.002152852529601722
BDI,14,0.002152852529601722
MCO,14,0.002152852529601722
FSM,13,0.001999077348915885
SWZ,13,0.001999077348915885
TLS,13,0.001999077348915885
TJK,13,0.001999077348915885
BIH,12,0.0018453021682300476
PAK,12,0.0018453021682300476
NPL,11,0.0016915269875442103
MAR,11,0.0016915269875442103
TUV,11,0.0016915269875442103
ALA,11,0.0016915269875442103
BHS,11,0.0016915269875442103
LSO,11,0.0016915269875442103
DDR,11,0.0016915269875442103
ABW,10,0.001537751806858373
TON,10,0.001537751806858373
CUW,9,0.0013839766261725358
HKG,9,0.0013839766261725358
XKX,9,0.0013839766261725358
AND,9,0.0013839766261725358
YEM,8,0.0012302014454866985
PRI,8,0.0012302014454866985
BHR,8,0.0012302014454866985
MHL,8,0.0012302014454866985
LBY,8,0.0012302014454866985
OMN,7,0.001076426264800861
AGO,7,0.001076426264800861
SRB,7,0.001076426264800861
MKD,6,0.0009226510841150238
SCG,5,0.0007688759034291865
ARE,5,0.0007688759034291865
YMD,5,0.0007688759034291865
IMN,4,0.0006151007227433493
CHN,4,0.0006151007227433493
BTN,4,0.0006151007227433493
SXM,4,0.0006151007227433493
ERI,3,0.0004613255420575119
SSD,2,0.00030755036137167463
MISSING_ISO3,2,0.00030755036137167463
SHN,2,0.00030755036137167463
PSE,1,0.00015377518068583732
