iso3,Country,year,avh,ccon,cda,cgdpe,cgdpo,ck,cn,csh_c,csh_g,csh_i,csh_m,csh_r,csh_x,ctfp,cwtfp,delta,emp,hc,irr,labsh,pl_c,pl_con,pl_da,pl_g,pl_gdpo,pl_i,pl_k,pl_m,pl_n,pl_x,pop,rconna,rdana,rgdpe,rgdpna,rgdpo,rkna,rnna,rtfpna,rwtfpna,xr
DOM,Dominican Republic,1953,,4676.50341796875,5626.60546875,6002.6474609375,7088.1279296875,,15526.9482421875,0.551743984222412,0.108021713793278,0.134041339159012,-0.313839852809906,-0.0024041177239269,0.522436916828156,,,0.0393540449440479,0.606534600257874,1.37989842891693,0.128680005669594,0.613713562488556,0.106822592061946,0.100034855306149,0.10480971634388,0.0653650351549333,0.0887590944766998,0.128312097048832,,0.0335134044289589,0.097346730530262,0.0311839077621698,2.5552896373772,5781.2783203125,7203.8359375,6079.52294921875,7189.57470703125,7012.23681640625,,34506.72265625,,,1
DOM,Dominican Republic,1954,,5001.572265625,5872.42919921875,6630.15869140625,7760.04833984375,,15604.8017578125,0.549702405929565,0.0948260426521301,0.112223103642464,-0.285470008850098,0.0304964371025562,0.49822199344635,,,0.0409815087914467,0.621882379055023,1.38008236885071,0.141075968742371,0.613713562488556,0.10252623596409,0.0969817489385605,0.102196872234344,0.0648405930672659,0.0873166546225548,0.132148792750194,,0.0327908173203468,0.095267690718174,0.0334729477763176,2.63706164157787,6228.21923828125,7535.83447265625,6729.8662109375,7743.30615234375,7699.67822265625,,35486.5078125,,,1
ECU,Ecuador,1950,,8889.46484375,19286.8203125,20370.142578125,19922.205078125,,28444.1171875,0.360822319984436,0.0853865742683411,0.521897792816162,-0.0241148807108402,0.0167805850505829,0.0392275713384151,,,0.0328164100646973,1.07657885551453,1.50268161296844,0.437308132648468,0.487320452928543,0.0610941198694946,0.0548415780067444,0.0283609591424465,0.0284199001922858,0.0289986375719309,0.0057207257422428,,0.0656529068946838,0.0213607624173164,0.0672690123319626,3.49217601114538,13588.763671875,18224.298828125,20665.07421875,12823.142578125,20851.755859375,,114154.578125,,,1
ECU,Ecuador,1951,,9387.2216796875,22618.7109375,22570.91015625,22370.69921875,,29617.76953125,0.34231498837471,0.07730633020401,0.591465175151825,-0.0293077677488327,-0.0126681141555309,0.0308893732726574,,,0.0325951464474201,1.09703326225281,1.51523077487946,0.442698359489441,0.487320452928543,0.0648104857647414,0.0582957826554775,0.0274544972926378,0.0294484712227254,0.0277002062648535,0.00557381633777,,0.0609426982700825,0.0217204298824072,0.0672832876443863,3.58393971501072,14459.861328125,19714.08203125,22480.7890625,13082.7109375,23008.427734375,,119933.015625,,,1
ECU,Ecuador,1952,,10294.037109375,22143.25,23147.392578125,22658.994140625,,30757.482421875,0.372903496026993,0.0813989639282227,0.522936403751373,-0.0271125603467226,0.0100219203159213,0.0398517660796642,,,0.03238170966506,1.11774861812592,1.52788460254669,0.496921330690384,0.487320452928543,0.0656703974509057,0.0591955035924912,0.0304649323225021,0.0295328326505969,0.0311215780675411,0.0055051663661982,,0.0668652057647705,0.0214064288884401,0.0715414881706238,3.67789910898264,15826.890625,21117.955078125,22995.59765625,14596.5068359375,23240.291015625,,124285.359375,,,1
ECU,Ecuador,1953,,10743.9228515625,26226.9375,26515.55078125,26182.869140625,,32349.306640625,0.332679688930512,0.0776619985699654,0.591341435909271,-0.0266988892108202,-0.0071973945014178,0.0322131887078285,,,0.0323533751070499,1.13885593414307,1.54064416885376,0.445996850728989,0.487320452928543,0.0668224169679682,0.0598362199962139,0.0281623527407646,0.029909536187649,0.0285201855003834,0.0061833263179592,,0.0735646933317184,0.0237499438226223,0.0769809186458588,3.77515203352936,16330.31640625,22420.830078125,26534.251953125,15103.1826171875,27050.33203125,,131473.9375,,,1
ECU,Ecuador,1954,,11529.4755859375,31024.06640625,31015.9765625,30672.60546875,0.0027513557579368,34600.07421875,0.3065145611763,0.0693738088011742,0.635570049285889,-0.0289829969406128,-0.0161252543330193,0.0336498245596886,1.52361214160919,1.5404417514801,0.0329602062702179,1.16035461425781,1.55351030826569,0.468594491481781,0.487320452928543,0.0685933257570738,0.0615481026470661,0.026742797344923,0.0304201714782622,0.0270421728491783,0.0061582666473151,1.09146249294281,0.0768146961927414,0.0234805233776569,0.0789106413722038,3.8763713286055,17587.099609375,24716.41015625,31301.55078125,16535.994140625,31951.34765625,0.0832578539848328,141560.015625,0.729880750179291,1.11410915851593,1
EGY,Egypt,1950,,19738.353515625,19980.84765625,20464.83984375,20440.734375,,4898.56640625,0.799299836158752,0.16633839905262,0.0118632381781936,-0.148996442556381,0.0940186157822609,0.0774763226509094,,,0.0416682213544846,5.60756492614746,1.07840383052826,0.511491239070892,0.392437189817429,0.13996243396271,0.133781090378761,0.145388066768646,0.104078072297894,0.145559519529343,1.09016799997923,,0.149762570858002,0.667426526546478,0.15580578148365,21.8606097252469,58059.5859375,54342.046875,22213.310546875,56836.484375,22808.365234375,,52486.9140625,,,0.348140668512396
EGY,Egypt,1951,,20838.845703125,21111.65234375,21169.912109375,21030.912109375,,5013.08642578125,0.809186220169067,0.181681230664253,0.0129717346280813,-0.136504784226418,0.0781366899609566,0.0545289255678654,,,0.0435217842459679,5.71014833450317,1.08039975166321,0.452578783035278,0.392437189817429,0.141765625608008,0.134634867310524,0.14850777387619,0.102875314635614,0.149489313364029,1.20821312844622,,0.164248734712601,0.768614232540131,0.204506620764732,22.3832094757567,61250.57421875,57497.19921875,22998.482421875,58044.5703125,23780.876953125,,53933.19921875,,,0.348242026214203
EGY,Egypt,1952,,19133.39453125,19448.166015625,19486.951171875,20024.080078125,,5177.68017578125,0.759002268314362,0.196516945958138,0.0157196652144194,-0.105246409773827,0.0702759027481079,0.0637316182255745,,,0.0454007983207703,5.8144268989563,1.08239936828613,0.435812592506409,0.392437189817429,0.14271888759502,0.134384796023369,0.150379344820976,0.102196268809729,0.146345540881157,1.1226071628735,,0.188500836491585,0.715113639831543,0.15448759496212,22.9183016270716,55555.265625,53588.703125,21042.197265625,61966.19140625,22395.234375,,55783.69921875,,,0.348242026214203
