iso3,country,wb_region,wb_income_class,iso3_valid
PHL,Philippines,East Asia & Pacific,Lower-Middle Income,True
DOM,Dominican Republic,Latin America & the Caribbean,Upper-Middle Income,True
SDN,Sudan,Sub-Saharan Africa,Low Income,True
COD,"Congo, Dem. Rep.",Sub-Saharan Africa,Low Income,True
PER,Peru,Latin America & the Caribbean,Upper-Middle Income,True
DZA,Algeria,Middle East & North Africa,Lower-Middle Income,True
PAN,Panama,Latin America & the Caribbean,Upper-Middle Income,True
SEN,Senegal,Sub-Saharan Africa,Lower-Middle Income,True
CMR,Cameroon,Sub-Saharan Africa,Lower-Middle Income,True
PNG,Papua New Guinea,East Asia & Pacific,Lower-Middle Income,True
BEN,Benin,Sub-Saharan Africa,Lower-Middle Income,True
GAB,Gabon,Sub-Saharan Africa,Upper-Middle Income,True
SVN,Slovenia,Europe & Central Asia,High Income,True
BIH,Bosnia and Herzegovina,Europe & Central Asia,Upper-Middle Income,True
GUY,Guyana,Latin America & the Caribbean,Upper-Middle Income,True
MMR,Myanmar,East Asia & Pacific,Lower-Middle Income,True
TJK,Tajikistan,Europe & Central Asia,Lower-Middle Income,True
BHS,"Bahamas, The",Latin America & the Caribbean,High Income,True
HKG,"Hong Kong SAR, China",East Asia & Pacific,High Income,True
MLT,Malta,Middle East & North Africa,High Income,True
HND,Honduras,Latin America & the Caribbean,Lower-Middle Income,True
TLS,Timor-Leste,East Asia & Pacific,Lower-Middle Income,True
BHR,Bahrain,Middle East & North Africa,High Income,True
MLI,Mali,Sub-Saharan Africa,Low Income,True
HRV,Croatia,Europe & Central Asia,High Income,True
MKD,North Macedonia,Europe & Central Asia,Upper-Middle Income,True
TTO,Trinidad and Tobago,Latin America & the Caribbean,High Income,True
BGR,Bulgaria,Europe & Central Asia,Upper-Middle Income,True
HTI,Haiti,Latin America & the Caribbean,Low Income,True
MEX,Mexico,Latin America & the Caribbean,Upper-Middle Income,True
TUN,Tunisia,Middle East & North Africa,Lower-Middle Income,True
BGD,Bangladesh,South Asia,Lower-Middle Income,True
HUN,Hungary,Europe & Central Asia,High Income,True
MDG,Madagascar,Sub-Saharan Africa,Low Income,True
TUR,Türkiye,Europe & Central Asia,Lower-Middle Income,True
BFA,Burkina Faso,Sub-Saharan Africa,Low Income,True
IDN,Indonesia,East Asia & Pacific,Upper-Middle Income,True
MDA,Moldova,Europe & Central Asia,Upper-Middle Income,True
THA,Thailand,East Asia & Pacific,Upper-Middle Income,True
MNE,Montenegro,Europe & Central Asia,Upper-Middle Income,True
GTM,Guatemala,Latin America & the Caribbean,Upper-Middle Income,True
BLR,Belarus,Europe & Central Asia,Upper-Middle Income,True
BTN,Bhutan,South Asia,Lower-Middle Income,True
GBR,United Kingdom,Europe & Central Asia,High Income,True
NAM,Namibia,Sub-Saharan Africa,Upper-Middle Income,True
SWE,Sweden,Europe & Central Asia,High Income,True
BRN,Brunei Darussalam,East Asia & Pacific,High Income,True
GEO,Georgia,Europe & Central Asia,Upper-Middle Income,True
MYS,Malaysia,East Asia & Pacific,Upper-Middle Income,True
SWZ,Eswatini,Sub-Saharan Africa,Lower-Middle Income,True
BRB,Barbados,Latin America & the Caribbean,High Income,True
GHA,Ghana,Sub-Saharan Africa,Lower-Middle Income,True
MWI,Malawi,Sub-Saharan Africa,Low Income,True
GIN,Guinea,Sub-Saharan Africa,Low Income,True
NER,Niger,Sub-Saharan Africa,Low Income,True
SYC,Seychelles,Sub-Saharan Africa,High Income,True
MUS,Mauritius,Sub-Saharan Africa,Upper-Middle Income,True
GMB,"Gambia, The",Sub-Saharan Africa,Low Income,True
MRT,Mauritania,Sub-Saharan Africa,Lower-Middle Income,True
SYR,Syrian Arab Republic,Middle East & North Africa,Low Income,True
BOL,Bolivia,Latin America & the Caribbean,Lower-Middle Income,True
GNB,Guinea-Bissau,Sub-Saharan Africa,Low Income,True
MOZ,Mozambique,Sub-Saharan Africa,Low Income,True
QAT,Qatar,Middle East & North Africa,High Income,True
BLZ,Belize,Latin America & the Caribbean,Upper-Middle Income,True
GRC,Greece,Europe & Central Asia,High Income,True
MNG,Mongolia,East Asia & Pacific,Lower-Middle Income,True
TGO,Togo,Sub-Saharan Africa,Low Income,True
BRA,Brazil,Latin America & the Caribbean,Upper-Middle Income,True
ZWE,Zimbabwe,Sub-Saharan Africa,Lower-Middle Income,True
