iso3,year,d_efw_area1,d_efw_area2,d_efw_area3,d_efw_area4,d_efw_area5,bundle,large_reform
MMR,2015,1.865437591609888,0.4655705582833991,0.3515126944158293,3.1314903964384966,0.8968511383601214,1,True
MUS,1975,-1.8886832437389849,0.0320020403382361,-5.663271107815662,-0.244444444444444,-0.2613448844898638,3,True
MUS,1985,0.936359072305872,0.383983098947712,1.5992035915194176,2.876209687193235,1.4787169516615295,2,True
MWI,1975,-2.3057709211760775,-0.3550921040151138,-0.526890976931373,-0.5111111111111102,-1.6396396396396389,3,True
NGA,2000,-1.0794961762084403,-0.388373075307856,3.6701289138042688,2.7287317253001637,0.7156932631008415,2,True
NIC,1980,-2.1250771388440928,0.5774219584392162,-2.454549463630572,-5.777380492455428,0.7495266784859091,3,True
NIC,1985,-1.665543152869323,0.2572709291921571,-5.993431944583152,-0.0559528408779038,-1.2916654399497536,3,True
NIC,1995,3.1782246082683168,0.553251019504212,4.3435684170358755,2.9556421646586175,3.211111111111111,2,True
NZL,1990,0.8635735065437586,-0.0070239730370378,2.3747873426936046,1.0102254893161629,0.9596806691939426,2,True
PAK,1975,-3.105256285342642,-0.602432441433824,-1.8031938196587072,2.365098576082124,-2.6305485593422557,3,True
PER,1975,-2.045886758800892,0.4394889413455884,-0.933379142593746,-2.6007945209741594,0.0180062948941568,3,True
PER,1995,1.2441997981891255,0.4451774749816826,3.5885343159731864,3.2725925925925927,1.9654452362164023,2,True
PER,2000,-0.0984010069370153,0.0545789239943106,4.098851040036308,1.7580127177441938,0.6832229843363997,2,True
PHL,1990,1.2903166140128155,1.16985979951732,1.6446837939323986,-0.2467490640613769,1.8417213830013497,1,True
PHL,1995,0.5306727207796689,1.0969268090479742,2.788904260941379,1.1150529312101227,0.4266555555555555,1,True
POL,1995,-0.473987964451469,0.4407079943237928,3.4259999999999997,2.1607407407407413,1.361335806991428,2,True
PRT,1980,0.8921705856310842,1.4366464339241825,0.1347452881785411,3.2222222222222223,0.1538436098913278,1,True
PRY,1995,0.037375391550384,2.2289830426640056,1.985613912780668,1.9193458683623217,1.1757014616402115,1,True
ROU,2005,1.2672933095161474,0.3762276548716246,5.850630916298032,1.2389649755718652,0.2386472314370609,2,True
RWA,2000,-1.0484142256050522,1.100142321018764,3.638303883793426,1.7576939551703663,1.0423545319231522,1,True
SLE,1985,1.2100165921846706,-0.0007659383823526,-5.110575698091715,0.1555555555555556,-1.11011011011011,3,True
SLV,1980,-1.277742773776053,-0.090306460501961,-0.276645048999395,-2.866666666666667,-0.6749584472155776,3,True
SLV,1995,1.142783682309303,2.0234911417794748,2.9990504287335877,2.637320798304347,1.265835254840976,1,True
TGO,1985,2.887187128138541,0.2230342650676466,1.1147343623350592,0.9111111111111114,0.0,0,True
TTO,1995,-0.2616528998175669,-0.2467996233758764,2.6461281781867676,4.472434062575244,-0.0684017350684023,2,True
TUR,1985,0.7552712003932456,0.2450978030313733,1.4696206062986512,2.089543020526569,0.9260488726349756,2,True
TZA,1995,2.8656865734564843,0.3342631330135841,0.4239999999999995,3.788561823070049,0.9956527933161912,1,True
UGA,1995,3.0571916825067253,1.430391442400014,3.939099719058105,3.0609475782016915,0.1570837572061352,1,True
UGA,2000,-0.5159672285667005,-0.2138241880372851,4.7372931258112,1.7352821884619267,-0.0012814124823163,2,True
UKR,2020,0.1625900818647681,0.2675409320378197,4.129154508348522,0.1721780982677545,0.1167144498969614,2,True
URY,1975,-0.4651041646433631,-1.1569627433321088,-2.9764600299433948,0.0122819536262088,-2.0075651519187225,3,True
VEN,2005,-1.5319994030838933,-0.7257126315889249,-0.3630181157510987,-2.1671466748203185,-0.5089719986149079,3,True
VEN,2010,-0.0895072092009447,-0.2490497634290873,-2.6311952237425804,-1.9053320008541248,-0.6584841994161978,3,True
ZAF,1995,0.2161268706965105,2.533549861697696,0.6520141600258613,0.3185143068101679,1.3961157342341766,1,True
ZMB,1995,2.5354923462383248,0.9251419071314072,0.200304839794623,3.1985185185185188,0.8937832440283424,1,True
ZMB,2000,0.4465849884353137,-0.5635783834794363,5.049598581457835,1.0791329053993577,-0.8132302123325506,2,True
ZWE,2000,-0.8338564245383209,-1.9741625169133057,-1.996364324515908,-3.499748498774081,-0.9832888125010476,3,True
ZWE,2005,-1.1245322324050455,-0.7024290134895277,-1.7080398874124656,-0.7296271431031078,-1.2553024078228328,3,True
ZWE,2010,2.093686773999095,-0.0848331167355516,1.430257606233507,2.6610715378874343,-0.043500642253095,2,True
ZWE,2015,0.1791487642911873,0.1650703021162076,3.579183819053134,0.849184178721786,0.248730437359792,2,True
ZWE,2020,-0.9881541750177104,-0.011836519705775,-6.206960288890064,-0.7085960768530102,0.0719216534364921,3,True
