iso3,country,year,summary_change,area,area_change,abs_share,signed_share,rank_abs
POL,Poland,1985,-1.13,d_efw_area3,-3.472666666666666,0.5070636977956048,0.6146312684365781,1.0
SLE,Sierra Leone,1985,-0.9699999999999998,d_efw_area3,-5.110575698091715,0.6735942537250692,1.0537269480601477,1.0
TGO,Togo,1985,1.0300000000000002,d_efw_area1,2.887187128138541,0.5621397078929354,0.5606188598327263,1.0
TUR,Türkiye,1985,1.0999999999999996,d_efw_area4,2.089543020526569,0.38091549992060064,0.37991691282301265,1.0
BEN,Benin,1990,1.0699999999999994,d_efw_area1,2.9778742453775404,0.658212284261712,0.5566120084817836,1.0
BOL,Bolivia,1990,1.62,d_efw_area3,4.898647926131121,0.5016348477267938,0.6047713489050766,1.0
BRA,Brazil,1990,1.04,d_efw_area4,3.340740740740741,0.6400446694954192,0.6424501424501424,1.0
CHL,Chile,1990,1.5199999999999996,d_efw_area2,2.151215611504465,0.2828685802438326,0.2830546857242718,1.0
CRI,Costa Rica,1990,1.4699999999999998,d_efw_area4,2.7768383943758623,0.3785501765419958,0.37780114209195415,1.0
DOM,Dominican Republic,1990,-0.9799999999999995,d_efw_area4,-2.5844444444444448,0.5011782111044796,0.5274376417233563,1.0
GHA,Ghana,1990,1.3899999999999997,d_efw_area4,3.661111111111111,0.49298476832866744,0.5267785771382895,1.0
GTM,Guatemala,1990,0.9900000000000002,d_efw_area4,4.5627019173569145,0.6349716941327636,0.9217579631024068,1.0
ISL,Iceland,1990,1.3399999999999999,d_efw_area3,4.900670804419875,0.6496435107976531,0.7314434036447575,1.0
ISR,Israel,1990,0.9900000000000002,d_efw_area3,3.1046814998967607,0.5273538473697569,0.6272083838175273,1.0
KOR,"Korea, Rep.",1990,0.9400000000000004,d_efw_area4,1.9060083233206369,0.4045500678666178,0.4055336858129013,1.0
MEX,Mexico,1990,1.1500000000000004,d_efw_area4,3.0672911869762123,0.5291094620182588,0.5334419455610803,1.0
NZL,New Zealand,1990,1.04,d_efw_area3,2.3747873426936046,0.4553508809850489,0.45668987359492397,1.0
PHL,Philippines,1990,1.1399999999999997,d_efw_area5,1.8417213830013495,0.2973717189886616,0.3231090145616404,1.0
ARG,Argentina,1995,2.1399999999999997,d_efw_area3,3.8082340767238794,0.3557405003029162,0.35590972679662425,1.0
DOM,Dominican Republic,1995,1.6199999999999992,d_efw_area4,3.439543020526567,0.42525546108201584,0.4246349408057492,1.0
EGY,"Egypt, Arab Rep.",1995,0.96,d_efw_area4,3.9451851851851854,0.7155906917447246,0.8219135802469136,1.0
EST,Estonia,1995,1.0300000000000002,d_efw_area4,6.013333333333334,0.6043691288457614,1.167637540453074,1.0
GTM,Guatemala,1995,1.0699999999999994,d_efw_area4,2.3554193282568887,0.43968486117957356,0.44026529500128786,1.0
HTI,Haiti,1995,1.2800000000000002,d_efw_area5,2.773807557557558,0.4353551207646789,0.43340743086836836,1.0
HUN,Hungary,1995,1.0700000000000003,d_efw_area4,3.3281481481481494,0.6123179057727934,0.6220837660089997,1.0
MLT,Malta,1995,1.2299999999999995,d_efw_area2,2.746106334127451,0.4168199379495327,0.44652135514267516,1.0
NIC,Nicaragua,1995,2.8499999999999996,d_efw_area3,4.3435684170358755,0.3049873775945263,0.3048118187393597,1.0
PER,Peru,1995,2.0999999999999996,d_efw_area3,3.5885343159731864,0.34124682169417686,0.34176517294982733,1.0
PHL,Philippines,1995,1.1899999999999995,d_efw_area3,2.788904260941379,0.4680773579445763,0.468723405200232,1.0
POL,Poland,1995,1.38,d_efw_area3,3.4259999999999997,0.43572416690989785,0.4965217391304348,1.0
PRY,Paraguay,1995,1.4699999999999998,d_efw_area2,2.2289830426640056,0.3033860178219769,0.30326299900190556,1.0
RUS,Russian Federation,1995,1.1700000000000004,d_efw_area1,5.116423042834863,0.4439936206987567,0.8746022295444208,1.0
SLV,El Salvador,1995,2.0200000000000005,d_efw_area3,2.9990504287335877,0.29786522292652234,0.29693568601322645,1.0
TTO,Trinidad and Tobago,1995,1.3100000000000005,d_efw_area4,4.472434062575244,0.5811815465923853,0.6828143606985103,1.0
TZA,Tanzania,1995,1.6899999999999995,d_efw_area4,3.788561823070049,0.4505813251973946,0.4483505116059231,1.0
UGA,Uganda,1995,2.33,d_efw_area3,3.939099719058105,0.33827362856494897,0.3381201475586356,1.0
ZAF,South Africa,1995,1.0200000000000005,d_efw_area2,2.533549861697696,0.4951897847389637,0.4967744826858225,1.0
ZMB,Zambia,1995,1.5499999999999998,d_efw_area4,3.1985185185185188,0.4125395532066331,0.41271206690561535,1.0
ALB,Albania,2000,0.96,d_efw_area3,2.5632249525495743,0.36383206616076674,0.534005198447828,1.0
BGD,Bangladesh,2000,1.0,d_efw_area4,4.073953138368266,0.6546205398496163,0.8147906276736532,1.0
BRA,Brazil,2000,1.29,d_efw_area3,5.735436885136123,0.6956412074568108,0.8892150209513369,1.0
EST,Estonia,2000,1.6799999999999997,d_efw_area3,6.164717265561557,0.732445335800585,0.7338949125668521,1.0
HRV,Croatia,2000,1.2999999999999998,d_efw_area3,2.9240338969150237,0.4218922901408201,0.44985136875615755,1.0
JOR,Jordan,2000,1.0699999999999994,d_efw_area3,2.4025953375458435,0.4039392030337548,0.4490832406627747,1.0
LTU,Lithuania,2000,1.13,d_efw_area3,4.577268927231806,0.7295325818244596,0.810136093315364,1.0
