iso3,pc1,pc2,cluster
IND,-0.06948066731600168,-0.09792709490501293,3
IRL,2.019979693769293,1.224036891963961,1
IRN,-1.0983424834830193,-1.7469713035238448,3
IRQ,-2.304902602310006,1.8119422006716823,0
ISL,0.014296684849940332,0.8098544512353298,0
ISR,-0.7559695560033569,1.0343172556508344,0
ITA,0.4083169701252632,-0.5569231302182777,1
JOR,-0.05764007897203373,-0.10793526049679952,3
JPN,0.9600819145069901,-0.46710311813901734,1
KAZ,-0.18190928044482307,0.8742744835977161,0
KEN,-0.7157892178670295,0.21620156419391307,3
KGZ,-1.0918148926456546,0.8486672871410036,0
KHM,1.28399819059018,-0.5054552605810682,1
KOR,0.4688752790552031,2.061377904088425,0
KWT,0.1056494359266068,-2.1904674726799374,3
LAO,-0.12950353082817942,1.7709779477737664,0
LBN,0.6612518719689119,-1.193389345099056,3
LBY,-0.9271797562104455,-2.150983714512923,3
LKA,0.4703103167296323,0.31365096631416267,1
LSO,0.099972300641291,1.1543353510618712,0
LTU,0.5423821068424974,1.160686027661695,0
LUX,3.815185025372497,0.2098324510016237,1
LVA,0.7107265972832136,0.6077082304493249,0
MAR,0.1498510345594258,-0.35001091906443416,3
MDA,-0.9409808645335004,0.5715721422531244,0
MDG,-1.5893137234573866,-1.245505733139184,3
MEX,-0.08388548954422023,-0.7566620660145168,3
MKD,1.016196813419462,-0.11628245748430657,1
MLI,0.08910052568654103,-1.2365811602373564,3
MLT,1.4378748635926994,2.176697131341808,0
MNE,0.13948734874655805,1.5408693403516636,0
MNG,0.9846106412220347,0.4638251465274794,1
MOZ,0.32971315870441237,-0.4178268485402667,3
MRT,-0.21054110778772775,-0.5387979458119331,3
MUS,0.6124191836954124,1.8263058430623593,0
MWI,-0.4615853457600723,-1.2676265523570243,3
MYS,2.1281043097492685,0.4939997201418945,1
NAM,0.18113880054030584,-0.6023450622369553,3
NER,-0.6529817019007773,-1.8287166061752826,3
NIC,-1.9909774700205007,0.1822978004260566,3
NLD,2.279902552059314,-0.4816975712061366,1
NOR,1.3820744798942037,-0.217379306174274,1
NPL,-0.9974492446666872,0.5324293339996725,3
NZL,0.6049089505291113,0.4019552978585342,1
OMN,0.3308531454113993,-0.3890184389620459,3
PAK,-0.5315326246696185,-0.5635234170905822,3
PAN,1.146530674800108,0.435004824828861,1
PER,-4.242275876288419,1.5694783037009696,2
PHL,-0.5004425630711794,0.47712544522525774,3
PNG,0.6381413333923213,-1.295316216274757,3
POL,-1.02204552610698,2.2281314496460682,0
PRT,0.09019767712320988,0.5003556793522251,0
PRY,-0.2261663356123232,0.5519431882490341,0
QAT,1.2171669151767446,-2.2399335808869756,1
ROU,-1.4275298487937718,2.1379269651608186,0
RUS,-1.886833063314555,0.1093864541011107,3
RWA,-1.2285158350178078,0.17926628940343514,3
SAU,0.3994054403648805,-2.387290949456873,3
SDN,-1.2043663496358223,-1.6582189914592966,3
SEN,-0.07047843804898803,-1.03544281013867,3
